date,window_id,window_start,window_end,n_days,n_assets,prec_num_edges,prec_avg_degree,prec_density,prec_total_weight,prec_avg_weight
2011-01-26,16,2010-01-28,2011-01-26,252,150,1500,20.0,0.1342281879194631,139.17024936207883,0.04639008312069295
2011-01-27,17,2010-01-29,2011-01-27,252,150,1500,20.0,0.1342281879194631,139.46033529810933,0.04648677843270311
2011-01-28,18,2010-02-01,2011-01-28,252,150,1500,20.0,0.1342281879194631,131.5768332141538,0.04385894440471793
2011-01-31,19,2010-02-02,2011-01-31,252,150,1500,20.0,0.1342281879194631,139.57747914490756,0.046525826381635854
2011-02-01,20,2010-02-03,2011-02-01,252,150,1500,20.0,0.1342281879194631,139.53182853003557,0.046510609510011854
2011-02-02,21,2010-02-04,2011-02-02,252,150,1500,20.0,0.1342281879194631,139.47851402967737,0.046492838009892457
2011-02-03,22,2010-02-05,2011-02-03,252,150,1500,20.0,0.1342281879194631,139.65899397205385,0.046552997990684616
2011-02-04,23,2010-02-08,2011-02-04,252,150,1500,20.0,0.1342281879194631,139.69229349856863,0.04656409783285621
2011-02-07,24,2010-02-09,2011-02-07,252,150,1500,20.0,0.1342281879194631,139.6758055996995,0.0465586018665665
2011-02-08,25,2010-02-10,2011-02-08,252,150,1500,20.0,0.1342281879194631,139.52331467518633,0.046507771558395444
2011-02-09,26,2010-02-11,2011-02-09,252,150,1500,20.0,0.1342281879194631,139.6813271542528,0.04656044238475094
2011-02-10,27,2010-02-12,2011-02-10,252,150,1500,20.0,0.1342281879194631,139.84251761581203,0.04661417253860401
2011-02-11,28,2010-02-16,2011-02-11,252,150,1500,20.0,0.1342281879194631,139.85955912892112,0.046619853042973704
2011-02-14,29,2010-02-17,2011-02-14,252,150,1500,20.0,0.1342281879194631,139.85636251503678,0.046618787505012256
2011-02-15,30,2010-02-18,2011-02-15,252,150,1500,20.0,0.1342281879194631,140.00350475365497,0.04666783491788499
2011-02-16,31,2010-02-19,2011-02-16,252,150,1500,20.0,0.1342281879194631,139.95017030652008,0.04665005676884003
2011-02-17,32,2010-02-22,2011-02-17,252,150,1500,20.0,0.1342281879194631,131.1795041926473,0.0437265013975491
2011-02-18,33,2010-02-23,2011-02-18,252,150,1500,20.0,0.1342281879194631,139.78292739775702,0.04659430913258567
