date,window_id,window_start,window_end,n_days,n_assets,corr_f_edge_mean,corr_f_edge_median,corr_f_edge_q10,corr_f_edge_q05,corr_f_edge_ltm10,corr_f_edge_frac_neg,corr_f_vertex_mean,corr_f_vertex_median,corr_f_vertex_q10,prec_f_edge_mean,prec_f_edge_median,prec_f_edge_q10,prec_f_edge_q05,prec_f_edge_ltm10,prec_f_edge_frac_neg,prec_f_vertex_mean,prec_f_vertex_median,prec_f_vertex_q10
2011-03-10,46,2010-03-12,2011-03-10,252,150,-3185.0920283989153,-3074.242388122418,-5128.609961248643,-5828.729963625057,-6067.686862397353,0.9974176888315042,-2320.6659027426645,-2444.406068237269,-3954.8205652215365,-92.71660302498432,-76.60399322815536,-184.1256703823955,-224.30398949497072,-244.29713649729422,0.9993333333333333,-67.40872618291156,-71.60522030413196,-104.70944003114596
2011-03-11,47,2010-03-15,2011-03-11,252,150,-3213.2391743973885,-3112.058612518087,-5151.776193319829,-5906.723153002176,-6173.487197933592,0.9967721110393802,-2379.072264460359,-2537.966536260525,-4124.391498754747,-91.9276221012796,-75.05929023047591,-182.76060249903605,-224.10813623260327,-240.49620427343345,0.9993333333333333,-66.44949396411188,-70.56052169976627,-103.57285605542206
2011-03-14,48,2010-03-16,2011-03-14,252,150,-3210.308925640235,-3095.1187406739073,-5171.165053578057,-5895.803694138188,-6165.46487986185,0.9967721110393802,-2377.9008937567373,-2532.4416393867286,-4109.01583970777,-91.29088664598474,-74.649231867808,-180.95246526821893,-224.35014245450336,-239.1407479565413,0.9993333333333333,-67.14693007454744,-71.97798548180782,-104.97074601792286
2011-03-15,49,2010-03-17,2011-03-15,252,150,-3211.8237199821187,-3087.6149490266425,-5159.343284080762,-5972.725305813462,-6194.831136060782,0.9974176888315042,-2370.6149962627687,-2492.222042491161,-4056.194412489784,-92.4713239407627,-74.62522456609463,-185.3182474017676,-231.5883260234054,-244.39457006887844,0.9993333333333333,-68.06348901779887,-71.003527224869,-106.51028072140662
2011-03-16,50,2010-03-18,2011-03-16,252,150,-3219.564723477887,-3113.052807576113,-5197.456675650437,-5876.229560797599,-6155.470917815885,0.9967721110393802,-2386.398835607339,-2524.25675454514,-4047.3384402753964,-193.14324277824434,-176.57173920585387,-316.15639909092073,-374.4226035276232,-400.83654024474606,1.0,-174.93815823340967,-163.3519843256595,-246.30781032201165
2011-03-17,51,2010-03-19,2011-03-17,252,150,-3236.8879675849284,-3136.8265774321867,-5184.842535375961,-5966.92723129554,-6160.113209756697,0.996776273372018,-2397.0756567240187,-2538.9515450460403,-4032.4774814300417,-89.69457727181977,-73.45898200366048,-174.40304397535206,-218.9819294083999,-232.70376495921712,0.9993333333333333,-65.99949572193066,-69.2945972003769,-103.19612596430999
2011-03-18,52,2010-03-22,2011-03-18,252,150,-3237.136230256621,-3135.8534282761702,-5213.9267179511035,-5873.747860951471,-6129.617365556003,0.9961315280464217,-2363.309491083996,-2517.3905497599926,-3967.6402998963435,-90.65587861678901,-75.03253023767765,-179.20042779160443,-219.56364117652095,-236.33376971721785,0.9993333333333333,-66.50455560750905,-69.79753445346412,-104.69704230649664
2011-03-21,53,2010-03-23,2011-03-21,252,150,-3227.1316796173974,-3106.000303879475,-5184.438640131353,-5865.451250736159,-6119.048889188889,0.9961290322580645,-2354.7150986251204,-2482.0443903381674,-3978.599984116718,-90.97063168734637,-74.62508476777757,-180.50487132806492,-223.7524462185656,-235.27816103277908,0.9993337774816788,-66.46589112390694,-68.52387590593318,-102.66283312795669
2011-03-22,54,2010-03-24,2011-03-22,252,150,-3243.059410482917,-3109.554069838791,-5191.788807973017,-5930.475292608401,-6171.48165458787,0.9967721110393802,-2402.1345142452324,-2482.9268544560055,-4059.668175758637,-205.27705181198436,-182.75222393589806,-343.6855555581765,-425.40060746194325,-457.7822938313368,1.0,-182.48819005986132,-173.68400404752973,-261.21012115695856
2011-03-23,55,2010-03-25,2011-03-23,252,150,-3254.8855693399346,-3103.2079104865456,-5226.202327601519,-6009.558017930006,-6213.488125347301,0.996776273372018,-2413.8798002517783,-2499.3274751583504,-4065.8237303172,-90.34765396742912,-74.97558509019592,-179.85779296823242,-218.54822356774392,-235.60048695412385,0.9993337774816788,-66.20367866252076,-67.93888822975855,-103.74865857799439
