date,window_id,window_start,window_end,n_days,n_assets,corr_num_edges,corr_avg_degree,corr_density,corr_total_weight,corr_avg_weight
2011-06-09,109,2010-06-11,2011-06-09,252,150,1545,20.6,0.138255033557047,1704.0118864219894,0.5514601574181196
2011-06-10,110,2010-06-14,2011-06-10,252,150,1545,20.6,0.138255033557047,1710.5421016709702,0.5535734956863981
2011-06-13,111,2010-06-15,2011-06-13,252,150,1546,20.613333333333333,0.13834451901565994,1713.6109339819845,0.55420793466429
2011-06-14,112,2010-06-16,2011-06-14,252,150,1546,20.613333333333333,0.13834451901565994,1700.045806029837,0.5498207652101672
2011-06-15,113,2010-06-17,2011-06-15,252,150,1547,20.626666666666665,0.13843400447427293,1710.4512169079244,0.5528284476108353
2011-06-16,114,2010-06-18,2011-06-16,252,150,1546,20.613333333333333,0.13834451901565994,1708.4198656112585,0.5525290639104976
2011-06-17,115,2010-06-21,2011-06-17,252,150,1545,20.6,0.138255033557047,1708.2600886623266,0.5528349801496203
2011-06-20,116,2010-06-22,2011-06-20,252,150,1545,20.6,0.138255033557047,1709.373384035985,0.5531952699145583
2011-06-21,117,2010-06-23,2011-06-21,252,150,1545,20.6,0.138255033557047,1704.9373265188815,0.5517596525951073
2011-06-22,118,2010-06-24,2011-06-22,252,150,1544,20.586666666666666,0.138165548098434,1705.4744324045137,0.5522909431361767
2011-06-23,119,2010-06-25,2011-06-23,252,150,1543,20.573333333333334,0.13807606263982103,1695.1403767046827,0.5493001868777325
2011-06-24,120,2010-06-28,2011-06-24,252,150,1544,20.586666666666666,0.138165548098434,1697.1378012463986,0.5495912568803104
2011-06-27,121,2010-06-29,2011-06-27,252,150,1544,20.586666666666666,0.138165548098434,1699.0781902273636,0.5502196211876178
2011-06-28,122,2010-06-30,2011-06-28,252,151,1554,20.582781456953644,0.1372185430463576,1670.6910201281282,0.5375453732715986
2011-06-29,123,2010-07-01,2011-06-29,252,151,1554,20.582781456953644,0.1372185430463576,1669.3096329316568,0.537100911496672
2011-06-30,124,2010-07-02,2011-06-30,252,151,1554,20.582781456953644,0.1372185430463576,1672.1039838047313,0.537999994789167
2011-07-01,125,2010-07-06,2011-07-01,252,151,1554,20.582781456953644,0.1372185430463576,1676.5704179791428,0.5394370714218606
2011-07-05,126,2010-07-07,2011-07-05,252,151,1554,20.582781456953644,0.1372185430463576,1679.2784278842655,0.5403083744801369
2011-07-06,127,2010-07-08,2011-07-06,252,151,1554,20.582781456953644,0.1372185430463576,1651.4604047422108,0.5313579165837229
2011-07-07,128,2010-07-09,2011-07-07,252,151,1554,20.582781456953644,0.1372185430463576,1654.0295678675716,0.5321845456459368
2011-07-08,129,2010-07-12,2011-07-08,252,151,1555,20.596026490066226,0.13730684326710818,1656.2702430506329,0.5325627791159592
2011-07-11,130,2010-07-13,2011-07-11,252,151,1555,20.596026490066226,0.13730684326710818,1671.4508232569976,0.5374439946163979
2011-07-12,131,2010-07-14,2011-07-12,252,151,1554,20.582781456953644,0.1372185430463576,1657.6634670350177,0.5333537538722708
2011-07-13,132,2010-07-15,2011-07-13,252,151,1554,20.582781456953644,0.1372185430463576,1658.5003650555755,0.5336230260796575
2011-07-14,133,2010-07-16,2011-07-14,252,151,1554,20.582781456953644,0.1372185430463576,1664.5910347991519,0.5355827010293281
2011-07-15,134,2010-07-19,2011-07-15,252,151,1552,20.556291390728475,0.13704194260485653,1629.7608074466557,0.5250518065227627
2011-07-18,135,2010-07-20,2011-07-18,252,151,1553,20.56953642384106,0.13713024282560707,1634.935567866251,0.5263797707231973
2011-07-19,136,2010-07-21,2011-07-19,252,151,1551,20.543046357615893,0.13695364238410596,1633.4238106874993,0.5265711833293034
2011-07-20,137,2010-07-22,2011-07-20,252,151,1550,20.52980132450331,0.1368653421633554,1630.854216238418,0.5260820052381994
2011-07-21,138,2010-07-23,2011-07-21,252,151,1550,20.52980132450331,0.1368653421633554,1606.9903894522777,0.5183839965975089
