date,window_start,window_end,n_days,n_assets,corr_diff_gamma,corr_diff_tmix_proxy,corr_diff_pi_min,corr_diff_lambda2,corr_ct_mean,corr_ct_median,corr_ct_q10,corr_ct_q90,corr_mfpt_mean,corr_mfpt_median,corr_mfpt_q10,corr_mfpt_q90,prec_diff_gamma,prec_diff_tmix_proxy,prec_diff_pi_min,prec_diff_lambda2,prec_ct_mean,prec_ct_median,prec_ct_q10,prec_ct_q90,prec_mfpt_mean,prec_mfpt_median,prec_mfpt_q10,prec_mfpt_q90
2018-08-13,2017-08-14,2018-08-13,252,167,0.002022620511463069,6566.82452354338,0.0001704576310248629,0.9979773794885369,4297.8886977897255,4180.379935992162,203.2992185159523,10312.33516096782,2148.944348894863,786.1422639477298,78.35464945226056,5987.632419482219,0.03288976577324121,366.09101516420816,0.000589947177666799,0.9671102342267588,512.6570227001488,464.619968584092,315.48513456247264,722.6121032956576,256.3285113500744,217.21059916795724,135.89382769829453,364.9492933220232
2018-08-14,2017-08-15,2018-08-14,252,167,0.0024061140982557516,5521.711737668186,0.00016983243686195923,0.9975938859017442,4070.052883909493,3732.972822518507,202.1891881094512,9825.629558538129,2035.0264419547466,691.8510696690669,78.32669893656053,5792.903426828296,0.032632444861246834,368.724310904783,0.0005948474578712851,0.9673675551387532,512.7607335805009,464.8718735305689,315.45613011441714,725.1750370463297,256.38036679025043,217.55513084185066,135.87110837011681,366.4098984289054
2018-08-15,2017-08-16,2018-08-15,252,167,0.002385047508219218,5566.937898201095,0.00017127481665838899,0.9976149524917808,4010.3759981404846,3730.104317628693,202.77275403453876,9706.132696414094,2005.1879990702423,691.2170825747492,78.2459511140793,5745.390253757846,0.031933177287248316,375.26874220132873,0.000624628747267963,0.9680668227127517,512.8602898756089,465.17903244439003,315.2260741361033,726.2941836801285,256.4301449378044,218.47859206945327,135.79605984176996,371.8836181027433
2018-08-16,2017-08-17,2018-08-16,252,167,0.002637686419454166,5036.786843237801,0.00016990109775814928,0.9973623135805458,3871.6131849661965,3365.4090591626023,202.87055303107067,9402.210193555467,1935.8065924830983,652.5505983145149,78.23041273285104,5488.99636075672,0.0836468423209038,127.6451253493233,0.002306690450556897,0.9163531576790962,417.7198370012156,410.88000392086326,326.7628713892981,516.2548064635849,208.85991850060776,202.40284015091203,148.76785735833363,275.83024206766953
2018-08-17,2017-08-18,2018-08-17,252,167,0.0025748331274301206,5162.740155380907,0.00016859280396771775,0.9974251668725699,3834.865295693787,3410.873863799229,205.32880595612664,9158.055211490104,1917.4326478468936,644.3202161949977,77.87084449099305,5503.287287164184,0.08382749732389339,127.51269330807759,0.0022792706647817014,0.9161725026761066,417.91419312894857,410.59174717648784,326.6156556528307,517.1786143887681,208.95709656447428,201.14710765475195,149.07520066421577,275.3802692975869
2018-08-20,2017-08-21,2018-08-20,252,167,0.0025748771934488435,5162.63423137626,0.00016860043126174634,0.9974251228065512,3827.344765040934,3397.3568361215616,205.23628240385514,9142.903472834016,1913.672382520467,642.2481898241883,77.95165020929811,5498.694266027945,0.08406862934686854,127.14133826538794,0.0022803465423432237,0.9159313706531315,417.9184459352192,410.4076376039581,326.54214000165507,517.1436044978692,208.9592229676096,201.09784428917152,149.27097695350943,274.41569183256127
2018-08-21,2017-08-22,2018-08-21,252,167,0.0025787174604456897,5153.106599620628,0.00016940203243185234,0.9974212825395543,3838.6154782720214,3460.2433261715346,205.73372775022264,9136.375835174185,1919.3077391360107,635.1177233479673,77.83488846261926,5493.966573851458,0.08371720431913365,127.6596196299745,0.0022832936984327986,0.9162827956808663,417.95513982672384,410.515531745213,326.59907939358106,517.3617837439172,208.97756991336192,200.4015709703581,149.44806838432095,273.82896430724367
2018-08-22,2017-08-23,2018-08-22,252,167,0.0025086216304229803,5300.367117909883,0.00016801699630713504,0.997491378369577,3801.4439943767757,3395.568034575918,204.7674106918002,9108.526859416996,1900.7219971883878,636.0035446435793,77.74582978990055,5481.236913464492,0.08454835540173744,126.4942494281319,0.002266064684887311,0.9154516445982626,418.0546108462235,410.66827740588485,326.67085338725065,518.168498185437,209.02730542311176,200.09351086246437,149.59938302139625,273.41646606399263
2018-08-23,2017-08-24,2018-08-23,252,167,0.0025270801437391466,5262.147687658175,0.00016780654684729946,0.9974729198562609,3805.4690279113615,3399.174781028598,205.36922671420467,9117.148614848998,1902.7345139556805,633.80191666781,77.84053319179411,5475.9263831007065,0.08514847500489375,125.51956327929014,0.0022821684566536856,0.9148515249951062,417.89728275359977,410.60470613261595,326.6872188672118,517.8955616441024,208.9486413767999,199.6047698123959,149.547515210419,274.12565282565726
2018-08-24,2017-08-25,2018-08-24,252,167,0.002543430551539938,5229.020322318543,0.00016750793135951537,0.9974565694484601,3703.5659703233123,3346.963206924415,205.7042551018443,9003.209158650781,1851.7829851616564,611.8883070797021,77.70991025243086,5148.10477134766,0.08492497329264692,125.92546647221438,0.002267569579182935,0.9150750267073531,417.897792513235,410.4089644519524,326.55267018866016,517.3288490952725,208.94889625661753,199.94021024231225,149.3695834037309,272.632187325911
