label_name,label_readable,model_name,model_readable,probe,probe_readable,corr_probe_vs_p_hat
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_ct_median,Precision graph: Ct Median,-0.12395830002180022
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_diff_tmix_proxy,Precision graph: Diff Tmix Proxy,-0.18600377983000627
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_diff_lambda2,Precision graph: Diff Lambda2,-0.1893413398059846
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_mfpt_median,Precision graph: Mean First Passage Time Median,-0.20094270370519035
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_mfpt_q90,Correlation graph: Mean First Passage Time Q90,-0.39537094641239084
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_diff_tmix_proxy,Correlation graph: Diff Tmix Proxy,-0.4280319950734502
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_mfpt_median,Correlation graph: Mean First Passage Time Median,-0.43455813407178984
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_ct_q90,Correlation graph: Ct Q90,-0.5464099639981451
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_diff_lambda2,Correlation graph: Diff Lambda2,-0.5645358842541587
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_ct_median,Correlation graph: Ct Median,-0.5866668185771078
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_mfpt_mean,Correlation graph: Mean First Passage Time Mean,-0.5963426205856786
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_ct_mean,Correlation graph: Ct Mean,-0.5963426205856787
